Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,T-7,Accum_y-1,Accum_y-2,Accum_y-3
735,651,622,691,1438,671,694,631,247,927,475
735,651,601,709,1438,628,740,608,290,811,475
735,632,620,709,1437,629,740,608,492,801,469
735,625,627,709,1427,639,739,389,578,803,419
732,628,562,774,1424,642,646,482,578,857,384
552,782,517,845,1262,802,648,482,578,825,347
475,820,556,845,1107,955,650,482,578,696,347
471,824,556,840,1112,955,650,482,578,673,132
471,824,556,833,1119,955,650,482,505,685,128
471,804,570,815,1143,955,650,482,492,674,107
500,797,574,645,1316,955,556,576,448,674,102
373,790,708,634,1323,959,556,573,471,669,102
311,807,708,602,1214,1143,558,573,451,598,102
289,784,749,549,1217,1155,600,573,479,716,83
228,816,778,549,1180,1187,605,573,473,724,136
198,821,804,519,1209,1189,605,556,473,730,107
190,645,982,535,1049,1349,605,556,473,747,66
275,628,935,468,1079,1453,605,556,473,747,66
276,688,931,417,1040,1547,605,556,473,747,66
267,697,910,351,1127,1547,605,556,473,747,90
228,736,901,357,1119,1558,605,556,475,747,92
486,739,816,441,1106,1538,639,556,475,715,92
507,700,692,604,1050,1549,684,455,475,598,198
507,700,689,607,1049,1473,761,455,476,579,279
533,725,652,644,974,1367,942,381,540,579,370
533,725,652,644,919,1388,771,396,683,532,370
632,725,652,641,886,1416,740,432,721,532,398
632,725,652,641,802,1408,806,458,776,521,413
626,731,652,628,798,1425,788,476,776,515,433
627,735,652,621,706,1467,845,476,935,453,444
627,735,651,622,692,1437,797,568,983,360,479
627,735,651,622,691,1438,671,694,983,392,638
693,735,651,601,709,1438,628,740,945,418,724
693,735,632,620,709,1437,629,740,743,423,724
693,735,625,627,709,1427,639,739,662,437,762
693,732,628,562,774,1424,642,646,662,379,902
693,552,782,517,845,1262,802,648,703,378,903
693,475,820,556,845,1107,955,650,703,331,903
693,471,824,556,840,1112,955,650,703,331,903
693,471,824,556,833,1119,955,650,703,326,903
765,471,804,570,815,1143,955,650,703,321,951
866,500,797,574,645,1316,955,556,709,330,1112
871,373,790,708,634,1323,959,556,639,367,1159
893,311,807,708,602,1214,1143,558,648,386,1177
972,289,784,749,549,1217,1155,600,594,291,1183
1100,228,816,778,549,1180,1187,605,594,354,1123
1106,198,821,804,519,1209,1189,605,594,341,1195
1096,190,645,982,535,1049,1349,605,594,318,1443
1008,275,628,935,468,1079,1453,605,594,330,1443
947,276,688,931,417,1040,1547,605,594,345,1443
