Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,T-7,T-8,T-9,T-10,T-11,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4
937,318,312,1267,1155,1425,903,128,1211,720,1014,1045,929,542,616,673
946,318,312,1267,1084,1448,951,107,1219,732,1015,947,929,569,499,717
946,151,479,1267,962,1409,1112,102,1224,732,1015,918,947,593,481,695
716,380,489,1223,992,1376,1159,102,1179,777,1015,892,946,593,440,680
707,352,530,1179,995,1399,1177,102,1076,880,1015,633,947,593,438,678
826,352,530,1179,987,1401,1183,83,976,999,1015,606,924,499,457,501
1158,352,530,1179,984,1398,1123,136,972,1016,1015,529,906,607,452,492
1221,338,544,1179,936,1374,1195,107,954,1042,1036,527,993,619,399,432
1252,333,549,1087,834,1320,1443,66,831,1206,1036,527,1105,666,326,409
1270,333,440,1196,659,1495,1443,66,740,1294,1039,502,1122,671,317,409
1373,333,434,1202,625,1529,1443,66,706,1328,914,627,1128,668,317,409
1403,406,429,1207,565,1589,1419,90,621,1412,836,705,1196,668,275,409
1452,409,420,912,840,1618,1417,92,621,1412,738,803,1279,699,275,409
1500,509,420,871,881,1618,1417,92,604,1429,709,832,1278,699,274,409
1412,615,425,847,810,1713,1311,198,534,1499,697,757,1278,689,228,409
1394,592,476,751,899,1689,1261,279,510,1523,628,714,1320,689,218,415
1362,624,447,771,907,1656,1204,370,510,1519,622,707,1292,687,218,433
1362,624,446,772,906,1583,1278,370,475,1509,591,777,1293,677,216,549
1306,680,446,767,903,1591,1250,398,475,1499,601,709,1213,677,216,648
1296,690,446,767,901,1593,1235,413,475,1315,707,704,1198,689,216,612
1296,690,446,767,901,1588,1220,433,475,1308,706,706,1242,680,272,612
1296,690,446,716,952,1560,1237,444,475,1281,704,735,1194,667,356,534
1296,680,456,659,1009,1472,1290,479,475,1146,801,731,1186,660,440,475
1296,680,379,710,1035,1428,1175,638,475,1031,914,698,1127,680,344,477
1150,826,360,729,1035,1304,1213,724,475,1008,930,704,1045,680,344,574
1144,832,360,679,1028,1307,1267,724,469,870,1066,712,947,680,344,587
1106,856,374,668,963,1382,1230,762,419,920,1066,712,918,672,346,587
1106,855,375,590,974,1417,1122,902,384,955,1066,668,892,672,365,608
1088,873,375,256,1304,1369,1173,903,347,992,988,746,633,672,402,581
1088,873,375,255,1268,1313,1266,903,347,992,830,904,606,634,419,585
1090,893,318,312,1267,1197,1383,903,132,1207,775,959,529,642,419,553
1047,937,318,312,1267,1155,1425,903,128,1211,720,1014,527,645,395,588
1040,946,318,312,1267,1084,1448,951,107,1219,732,1015,527,629,411,567
1108,946,151,479,1267,962,1409,1112,102,1224,732,1015,502,606,411,567
1111,716,380,489,1223,992,1376,1159,102,1179,777,1015,627,640,411,565
