Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,T-7,T-8,Accum_y-1
1402,857,494,651,706,389,1602,291,657,824
1415,857,450,673,728,389,1451,420,677,824
1415,832,438,710,706,411,1158,695,691,824
1415,811,389,780,684,433,1037,816,691,824
1415,789,409,781,675,443,1006,847,691,824
1415,725,473,778,610,511,1001,850,693,824
1415,725,470,781,539,582,1001,850,693,826
1412,607,591,781,537,584,982,864,698,792
1562,603,594,782,420,700,865,980,700,792
1588,609,594,782,409,710,705,1141,700,792
1596,610,523,860,410,710,705,1136,705,792
1758,618,557,785,485,696,719,1132,696,792
1816,585,590,707,563,688,727,1132,696,674
1837,584,591,698,572,686,719,1139,614,580
1971,568,607,675,555,726,691,1158,614,579
1971,551,624,675,527,754,510,1317,470,554
1971,405,756,561,655,754,341,1478,469,494
1934,486,756,497,719,754,260,1559,469,494
1703,717,756,472,645,844,199,1617,481,494
1703,717,756,468,598,807,284,1620,481,510
1461,896,769,518,597,794,293,1625,481,523
1434,883,809,482,493,934,286,1632,413,561
1425,667,997,506,503,937,279,1633,415,354
1209,887,940,542,525,921,295,1622,414,323
1205,920,936,546,525,921,295,1600,221,332
949,1176,931,551,525,920,219,1671,226,392
910,1208,938,551,507,938,219,1671,226,400
898,1211,947,551,506,916,220,1691,200,400
890,1219,944,554,504,890,248,1641,246,190
781,1328,858,579,565,797,301,1668,259,190
745,1364,857,550,595,793,302,1615,312,265
707,1402,857,494,651,706,389,1602,291,254
694,1415,857,450,673,728,389,1451,420,326
694,1415,832,438,710,706,411,1158,695,326
807,1415,811,389,780,684,433,1037,816,384
967,1415,789,409,781,675,443,1006,847,384
1123,1415,725,473,778,610,511,1001,850,384
1123,1415,725,470,781,539,582,1001,850,373
1123,1412,607,591,781,537,584,982,864,373
973,1562,603,594,782,420,700,865,980,373
941,1588,609,594,782,409,710,705,1141,373
924,1596,610,523,860,410,710,705,1136,406
820,1758,618,557,785,485,696,719,1132,730
774,1816,585,590,707,563,688,727,1132,731
754,1837,584,591,698,572,686,719,1139,731
620,1971,568,607,675,555,726,691,1158,731
620,1971,551,624,675,527,754,510,1317,731
620,1971,405,756,561,655,754,341,1478,731
678,1934,486,756,497,719,754,260,1559,731
793,1703,717,756,472,645,844,199,1617,731
794,1703,717,756,468,598,807,284,1620,715
799,1461,896,769,518,597,794,293,1625,702
799,1434,883,809,482,493,934,286,1632,664
987,1425,667,997,506,503,937,279,1633,660
982,1209,887,940,542,525,921,295,1622,645
953,1205,920,936,546,525,921,295,1600,635
953,949,1176,931,551,525,920,219,1671,575
953,910,1208,938,551,507,938,219,1671,567
953,898,1211,947,551,506,916,220,1691,567
963,890,1219,944,554,504,890,248,1641,567
963,781,1328,858,579,565,797,301,1668,567
963,745,1364,857,550,595,793,302,1615,492
966,707,1402,857,494,651,706,389,1602,567
1150,694,1415,857,450,673,728,389,1451,495
1162,694,1415,832,438,710,706,411,1158,546
1050,807,1415,811,389,780,684,433,1037,488
917,967,1415,789,409,781,675,443,1006,489
800,1123,1415,725,473,778,610,511,1001,532
800,1123,1415,725,470,781,539,582,1001,579
802,1123,1412,607,591,781,537,584,982,621
802,973,1562,603,594,782,420,700,865,647
805,941,1588,609,594,782,409,710,705,648
805,924,1596,610,523,860,410,710,705,630
723,820,1758,618,557,785,485,696,719,368
713,774,1816,585,590,707,563,688,727,380
910,754,1837,584,591,698,572,686,719,411
912,620,1971,568,607,675,555,726,691,554
1092,620,1971,551,624,675,527,754,510,688
1102,620,1971,405,756,561,655,754,341,705
1062,678,1934,486,756,497,719,754,260,813
