Accum_y-0,T-1,T-2,T-3,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4,Accum_y-5,Accum_y-6,Accum_y-7,Accum_y-8,Accum_y-9
1354,1188,1465,492,569,939,1622,543,1091,488,525,820,2337
1398,1005,1651,492,558,948,1600,590,1168,457,524,800,2432
1532,953,1702,493,514,1147,1671,633,1240,410,524,739,2431
1532,935,1720,474,472,1391,1671,611,1339,403,524,705,2560
1532,935,1666,502,472,1343,1691,611,1360,403,525,665,2721
1532,872,1716,515,472,1240,1641,628,1391,403,522,640,2685
1532,849,1739,515,472,1221,1668,665,1391,403,522,657,2553
1532,731,1857,515,472,1222,1615,680,1382,403,531,614,2494
1532,702,1886,515,472,1104,1602,675,1315,403,549,682,2301
1532,515,2073,514,472,1070,1451,635,1184,403,549,711,2250
1527,504,2089,319,472,1056,1158,589,1135,403,550,747,2230
1528,504,2072,337,472,1020,1037,582,1141,350,550,720,2134
1521,469,2111,340,472,898,1006,588,1142,350,550,711,2158
1493,479,2138,340,507,881,1001,592,1169,350,550,712,2120
1489,437,2154,370,517,868,1001,590,1242,350,550,709,2038
1489,338,2127,496,517,871,982,607,1123,295,550,709,1975
1489,331,2080,550,517,851,865,582,1160,315,546,808,1969
1517,331,2049,581,563,863,705,490,1229,389,546,807,1773
1506,387,2049,581,586,868,705,487,1139,321,428,823,1348
1500,412,2034,596,573,954,719,487,1021,319,357,853,1256
1372,511,1984,703,572,1036,727,486,1021,346,275,1387,1152
1371,509,1742,950,650,1124,719,486,1019,244,78,1509,1126
1332,524,1731,871,701,1188,691,486,962,248,52,1525,1057
1318,530,1697,905,650,1172,510,530,867,248,52,1816,1107
1241,572,1406,1257,767,1200,341,526,823,250,73,1921,1153
1213,619,1228,1400,777,1205,260,473,815,253,73,1762,1253
1279,624,1123,1421,642,1197,199,536,814,253,73,1930,1253
1151,758,1132,1411,487,1182,284,536,785,247,73,2053,1185
1058,841,1141,1412,487,1182,293,536,785,211,68,2024,1129
1020,875,1144,1413,490,1181,286,536,772,209,63,1976,951
782,1048,1209,1416,491,1051,279,536,763,209,63,1983,958
550,1354,1188,1465,491,1036,295,505,622,209,123,2023,994
564,1398,1005,1651,491,1092,295,458,540,179,124,2022,994
437,1532,953,1702,495,999,219,438,468,185,124,2035,968
438,1532,935,1720,541,839,219,468,369,228,124,2035,839
438,1532,935,1666,546,907,220,519,348,228,123,2036,695
443,1532,872,1716,592,956,248,549,320,228,117,2036,674
445,1532,849,1739,607,985,301,514,320,228,122,2008,677
445,1532,731,1857,870,987,302,466,320,228,113,1997,681
445,1532,702,1886,925,952,389,466,320,246,121,1967,681
445,1532,515,2073,980,952,389,467,320,259,124,1992,681
445,1527,504,2089,1012,1144,411,462,320,380,297,1991,626
443,1528,504,2072,1212,1147,433,456,313,538,304,2022,586
443,1521,469,2111,1216,1147,443,437,308,627,308,2019,531
434,1493,479,2138,1181,1147,511,434,281,636,308,2226,531
434,1489,437,2154,1171,1157,582,439,208,636,353,2271,531
434,1489,338,2127,1171,1154,584,426,204,643,378,2320,531
434,1489,331,2080,1211,1141,700,457,114,790,534,2221,531
406,1517,331,2049,1275,1128,710,511,18,709,569,2298,507
361,1506,387,2049,1382,1123,710,581,11,717,723,2325,501
342,1500,412,2034,1380,1051,696,640,20,731,723,2312,501
314,1372,511,1984,1419,980,688,720,44,692,723,1778,528
312,1371,509,1742,1435,924,686,733,44,703,724,1715,513
312,1332,524,1731,1402,859,726,743,40,847,719,1732,532
312,1318,530,1697,1469,817,754,696,38,1129,719,1464,482
286,1241,572,1406,1491,744,754,611,38,1244,733,1356,423
267,1213,619,1228,1457,707,754,565,38,1244,733,1320,320
198,1279,624,1123,1448,729,844,494,59,1244,735,1080,351
324,1151,758,1132,1448,769,807,546,60,1245,751,874,350
366,1058,841,1141,1448,769,794,604,61,1245,751,935,390
367,1020,875,1144,1445,820,934,683,80,1299,751,978,441
364,782,1048,1209,1444,897,937,744,281,1321,751,963,434
262,550,1354,1188,1444,874,921,761,322,1334,691,970,362
329,564,1398,1005,1469,823,921,761,364,1334,690,994,266
322,437,1532,953,1479,753,920,745,496,1328,697,981,253
321,438,1532,935,1433,727,938,744,625,1268,697,1003,283
321,438,1532,935,1428,670,916,707,625,1268,697,998,266
316,443,1532,872,1382,668,890,694,620,1268,697,998,266
317,445,1532,849,1367,708,797,692,625,1268,692,979,263
317,445,1532,731,1105,758,793,691,626,1268,692,974,269
317,445,1532,702,1050,780,706,691,628,1250,666,934,298
317,445,1532,515,1091,851,728,690,629,1253,663,878,298
317,445,1527,504,1059,717,706,690,631,1133,489,888,360
317,443,1528,504,859,723,684,690,631,975,482,884,366
317,443,1521,469,855,794,675,690,631,886,478,1047,383
317,434,1493,479,1089,819,610,710,631,882,478,952,426
317,434,1489,437,1246,815,539,710,631,925,433,1012,526
317,434,1489,338,1349,923,537,708,632,926,423,969,526
317,434,1489,331,1368,1135,420,705,635,753,339,967,582
317,406,1517,331,1260,1167,409,692,635,748,345,890,594
317,361,1506,387,1130,1219,410,648,655,759,205,840,599
317,342,1500,412,1130,1280,485,589,646,745,205,823,620
402,314,1372,511,1080,1305,563,525,622,757,205,854,638
438,312,1371,509,986,1272,572,539,627,744,239,806,626
438,312,1332,524,960,1285,555,543,629,596,240,834,601
440,312,1318,530,857,1404,527,636,629,347,240,834,614
440,286,1241,572,718,1400,655,636,629,232,224,859,615
471,267,1213,619,694,1400,719,636,629,229,236,859,613
469,198,1279,624,693,1378,645,636,608,229,234,918,644
422,324,1151,758,693,1338,598,584,607,228,218,910,743
409,366,1058,841,693,1355,597,533,650,228,218,835,734
409,367,1020,875,693,1322,493,473,895,177,218,792,683
409,364,782,1048,693,1341,503,413,809,158,229,792,763
410,262,550,1354,693,1375,525,396,800,155,229,734,785
282,329,564,1398,668,1426,525,402,892,174,229,711,787
