Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,T-7,T-8,T-9,T-10,T-11,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4,Accum_y-5
564,369,443,770,598,1055,435,330,154,358,928,889,820,1367,778,1270,1122
698,311,501,639,729,1002,488,287,197,358,928,852,821,1388,848,1373,1128
708,306,505,540,829,1002,488,225,259,358,928,851,722,1416,842,1403,1196
784,293,478,579,832,962,528,154,330,358,878,901,754,1408,841,1452,1279
784,271,500,440,971,860,630,154,330,355,770,1010,702,1425,854,1500,1278
788,270,490,401,1021,857,633,144,297,378,708,1092,612,1467,743,1412,1278
860,269,490,402,1004,859,648,144,297,378,705,1091,559,1437,694,1394,1320
1055,268,237,656,1004,854,611,186,297,378,705,1086,410,1438,644,1362,1292
1208,266,239,642,997,812,674,186,297,378,476,1314,388,1438,636,1362,1293
1302,266,229,651,977,833,674,186,297,378,428,1335,306,1437,641,1306,1213
1608,266,229,633,980,811,711,186,297,370,428,1203,302,1427,641,1296,1198
1659,266,229,633,980,811,698,179,317,370,309,1293,332,1424,637,1296,1242
1671,266,229,633,854,937,690,187,297,388,311,1287,347,1262,637,1296,1194
1669,207,245,676,725,1032,726,187,292,375,309,1306,377,1107,643,1296,1186
1690,126,270,734,710,1032,741,187,292,312,347,1325,480,1112,642,1296,1127
1719,124,251,753,705,989,760,218,287,297,316,1365,495,1119,661,1150,1045
1737,124,251,753,700,946,754,255,295,296,321,1364,577,1143,657,1144,947
1758,124,251,723,728,729,864,364,295,215,351,1415,717,1316,630,1106,918
1776,124,251,723,714,735,811,425,283,219,359,1384,809,1323,567,1106,892
