Accum_y-0,T-1,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4,Accum_y-5,Accum_y-6,Accum_y-7
993,854,910,400,498,529,220,443,508
992,721,898,400,481,529,258,436,569
946,759,890,190,461,524,363,436,632
666,1039,781,190,365,524,438,436,632
549,1156,745,265,364,419,438,436,630
540,1165,707,254,342,419,438,398,630
589,848,694,326,255,419,438,398,630
551,834,694,326,151,292,438,386,647
525,820,807,384,150,288,438,386,647
458,890,967,384,150,237,438,386,852
455,893,1123,384,150,206,559,386,853
455,893,1123,373,228,206,606,386,853
455,893,1123,373,258,206,607,391,853
439,909,973,373,246,207,568,472,864
439,909,941,373,326,190,622,539,809
439,909,924,406,326,178,622,539,830
439,909,820,730,326,236,660,455,832
439,885,774,731,326,263,763,440,833
439,851,754,731,326,401,804,439,829
439,851,620,731,263,416,846,474,829
454,851,620,731,263,473,900,474,786
469,849,620,731,263,416,902,474,695
469,849,678,731,236,656,902,474,619
465,853,793,731,376,584,902,475,619
527,902,794,715,486,583,902,581,619
569,930,799,702,491,583,902,581,619
535,947,799,664,534,583,902,656,630
647,856,987,660,534,583,870,656,709
519,1001,982,645,598,586,860,620,689
545,1002,953,635,603,586,860,740,793
574,1003,953,575,626,586,860,742,825
568,993,953,567,654,586,738,780,877
575,992,953,567,655,586,700,814,816
577,946,963,567,1015,651,678,820,832
709,666,963,567,1042,679,614,863,832
711,549,963,492,1138,679,624,863,953
794,540,966,567,1149,679,624,865,964
782,589,1150,495,1164,679,624,953,968
778,551,1162,546,1164,678,624,955,965
745,525,1050,488,1164,657,624,956,1015
1020,458,917,489,1164,657,624,956,900
1022,455,800,532,1164,657,569,956,950
1024,455,800,579,1086,657,526,956,951
1024,455,802,621,1056,657,525,873,951
1024,439,802,647,1055,656,521,792,940
1024,439,805,648,975,656,466,801,1086
1024,439,805,630,975,656,466,802,1067
1123,439,723,368,991,598,428,803,1065
1123,439,713,380,1045,570,484,892,1064
1123,439,910,411,1107,432,443,885,1058
1158,439,912,554,1109,417,395,850,1058
1143,454,1092,688,1140,347,341,850,1058
1203,469,1102,705,1140,346,801,902,1058
1372,469,1062,813,1200,96,801,903,1058
1419,465,947,838,1041,96,801,1132,1071
1309,527,946,898,930,96,823,1042,1078
1241,569,993,899,924,96,838,1079,1078
1272,535,993,899,968,96,838,1006,1067
1114,647,805,899,968,276,838,1008,988
1096,519,979,933,918,355,838,947,915
1069,545,1110,946,913,372,838,766,789
1039,574,1216,948,958,443,838,764,757
1034,568,1221,952,976,558,838,726,591
1027,575,1221,952,981,646,838,692,591
1025,577,1211,952,621,601,755,685,512
901,709,1211,952,665,597,744,642,512
904,711,1259,952,573,684,743,642,391
821,794,1263,873,562,689,763,640,380
784,782,1079,873,578,689,807,552,376
819,778,1160,822,594,689,810,569,362
819,745,1174,822,594,689,834,568,312
541,1020,1147,834,594,689,926,568,220
