Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,T-7,T-8,T-9,T-10,Accum_y-1,Accum_y-2
824,556,840,1112,955,650,482,830,471,879,983,462,1254
824,556,833,1119,955,650,482,811,490,874,945,534,1232
804,570,815,1143,955,650,482,793,508,874,743,547,1251
797,574,645,1316,955,556,576,790,511,869,662,571,1251
790,708,634,1323,959,556,573,793,498,882,662,600,1256
807,708,602,1214,1143,558,573,735,508,889,703,622,1327
784,749,549,1217,1155,600,573,538,705,889,703,648,1358
816,778,549,1180,1187,605,573,516,727,889,703,654,1299
821,804,519,1209,1189,605,556,533,727,889,703,650,1306
645,982,535,1049,1349,605,556,533,711,905,703,650,1233
628,935,468,1079,1453,605,556,495,749,893,709,631,1068
688,931,417,1040,1547,605,556,495,749,892,639,629,1040
697,910,351,1127,1547,605,556,490,754,881,648,629,989
736,901,357,1119,1558,605,556,490,747,888,594,507,945
739,816,441,1106,1538,639,556,490,747,888,594,439,977
700,692,604,1050,1549,684,455,591,747,888,594,384,1094
700,689,607,1049,1473,761,455,552,786,888,594,388,1112
725,652,644,974,1367,942,381,626,786,888,594,340,1112
725,652,644,919,1388,771,396,816,786,888,594,326,1158
725,652,641,886,1416,740,432,819,786,888,594,258,1108
725,652,641,802,1408,806,458,819,776,898,592,257,917
731,652,628,798,1425,788,476,800,743,892,650,250,852
735,652,621,706,1467,845,476,800,704,896,685,247,888
735,651,622,692,1437,797,568,800,663,933,684,247,930
735,651,622,691,1438,671,694,631,832,888,661,247,927
735,651,601,709,1438,628,740,608,855,694,711,290,811
735,632,620,709,1437,629,740,608,810,655,757,492,801
735,625,627,709,1427,639,739,389,935,750,702,578,803
732,628,562,774,1424,642,646,482,935,750,702,578,857
552,782,517,845,1262,802,648,482,935,750,543,578,825
475,820,556,845,1107,955,650,482,935,366,879,578,696
471,824,556,840,1112,955,650,482,830,471,879,578,673
471,824,556,833,1119,955,650,482,811,490,874,505,685
471,804,570,815,1143,955,650,482,793,508,874,492,674
500,797,574,645,1316,955,556,576,790,511,869,448,674
373,790,708,634,1323,959,556,573,793,498,882,471,669
311,807,708,602,1214,1143,558,573,735,508,889,451,598
289,784,749,549,1217,1155,600,573,538,705,889,479,716
228,816,778,549,1180,1187,605,573,516,727,889,473,724
198,821,804,519,1209,1189,605,556,533,727,889,473,730
190,645,982,535,1049,1349,605,556,533,711,905,473,747
275,628,935,468,1079,1453,605,556,495,749,893,473,747
276,688,931,417,1040,1547,605,556,495,749,892,473,747
267,697,910,351,1127,1547,605,556,490,754,881,473,747
