Accum_y-0,T-1,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4,Accum_y-5,Accum_y-6,Accum_y-7,Accum_y-8
903,1591,617,1032,567,322,467,946,890,190
901,1593,713,1135,654,322,373,666,781,190
901,1588,831,1249,682,322,359,549,745,265
952,1560,832,1249,682,322,356,540,707,254
1009,1472,834,1249,863,315,356,589,694,326
1035,1428,1012,1249,900,494,334,551,694,326
1035,1304,1021,1139,995,623,334,525,807,384
1028,1307,1044,1160,927,623,363,458,967,384
963,1382,1062,1093,1010,608,371,455,1123,384
974,1417,1132,1093,982,448,424,455,1123,373
1304,1369,1113,1093,982,448,427,455,1123,373
1268,1313,1113,1092,983,448,464,439,973,373
1267,1197,1363,1044,1022,444,542,439,941,373
1267,1155,1469,1087,1097,442,544,439,924,406
1267,1084,1553,1087,1112,369,663,439,820,730
1267,962,1539,1043,1124,347,956,439,774,731
1223,992,1666,904,1221,356,967,439,754,731
1179,995,1748,470,1249,506,1206,439,620,731
1179,987,1748,469,1278,473,1196,454,620,731
1179,984,1748,469,1278,473,1155,469,620,731
