Accum_y-0,T-1,T-2,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4,Accum_y-5,Accum_y-6,Accum_y-7
240,489,297,724,921,366,437,628,231,1504
240,482,304,700,914,366,437,628,261,1261
240,478,308,609,897,356,465,630,264,1269
240,478,308,683,854,358,491,658,317,1269
240,433,353,679,754,358,504,392,317,1302
225,423,378,719,754,358,502,373,295,1302
153,339,534,716,698,347,501,128,345,1394
112,345,569,716,686,317,407,148,327,1559
106,205,723,716,681,310,296,158,330,1559
110,205,723,716,723,310,263,158,330,1542
110,205,723,745,682,310,271,158,330,1572
73,239,724,772,679,301,250,158,330,1755
72,240,719,711,693,301,268,158,340,1755
80,240,719,687,680,301,282,158,335,1755
61,224,733,708,679,301,284,158,335,1755
49,236,733,726,679,315,275,428,335,1755
53,234,735,667,600,319,330,471,335,1755
160,218,751,666,499,288,330,471,335,1655
183,218,751,666,460,288,296,471,335,1462
183,218,751,666,523,288,296,476,305,1424
172,229,751,666,453,225,296,441,300,1402
177,229,691,666,482,197,296,436,300,1284
207,229,690,665,477,276,296,436,300,1219
207,222,697,665,534,298,296,423,305,1219
207,222,697,665,506,323,315,423,365,1334
207,222,697,665,371,321,317,423,435,1399
207,222,697,623,361,335,561,423,435,1471
201,228,692,623,297,601,561,423,415,1488
189,240,692,623,297,910,560,423,407,1175
189,240,666,623,329,921,552,433,407,1008
190,240,663,623,329,917,541,463,397,953
212,240,489,653,329,917,471,471,317,953
329,240,482,757,329,917,471,474,287,953
430,240,478,806,362,957,443,469,284,930
495,240,478,621,369,955,417,441,231,930
495,240,433,520,464,1044,404,432,231,897
498,225,423,474,577,1046,404,432,231,897
528,153,339,473,583,1046,404,432,181,787
531,112,345,473,698,1041,404,379,161,589
523,106,205,473,718,1041,386,369,158,589
568,110,205,509,655,1041,404,369,158,586
641,110,205,449,672,1130,557,369,158,526
713,73,239,421,674,1193,557,369,158,343
713,72,240,438,660,1256,537,369,148,343
705,80,240,470,660,1256,590,369,148,343
705,61,224,448,660,1294,576,369,148,348
705,49,236,449,660,1280,591,99,148,348
840,53,234,472,660,1276,540,56,148,348
749,160,218,512,794,1365,542,56,313,348
726,183,218,552,825,1391,561,56,458,491
726,183,218,599,926,1391,592,51,506,496
726,172,229,610,938,1391,677,51,521,542
721,177,229,610,898,1374,684,142,551,590
691,207,229,645,900,1281,684,208,721,642
691,207,222,645,840,1259,697,228,789,667
691,207,222,645,840,1234,712,245,766,567
691,207,222,646,859,1293,724,321,696,535
691,207,222,646,864,1282,480,321,696,430
691,201,228,658,863,986,521,321,691,375
691,189,240,689,857,620,521,336,691,375
691,189,240,689,805,638,521,341,691,372
690,190,240,705,805,646,521,315,691,372
668,212,240,649,805,662,521,307,691,372
551,329,240,577,805,669,521,359,691,372
450,430,240,508,772,629,521,366,721,372
385,495,240,506,765,629,521,376,749,372
480,495,240,506,670,540,556,485,764,372
484,498,225,533,557,677,580,486,769,372
464,528,153,533,551,677,580,538,799,757
461,531,112,533,436,677,832,538,817,812
466,523,106,533,416,677,1213,565,817,812
417,568,110,497,416,677,1290,569,817,812
344,641,110,497,391,588,1129,587,817,817
272,713,73,487,388,532,1129,634,867,892
273,713,72,470,388,469,1129,634,867,892
286,705,80,438,388,469,1052,634,1070,937
295,705,61,408,388,431,1052,634,1308,945
316,705,49,389,388,431,1048,634,1371,1000
251,840,53,400,388,431,1072,634,1371,1028
250,749,160,384,254,342,1070,634,1324,1028
295,726,183,359,223,316,1091,634,1179,1058
366,726,183,312,59,320,1182,634,1386,1096
383,726,172,301,37,320,1191,638,1386,1050
395,721,177,301,65,320,1184,547,1447,1002
395,691,207,266,96,320,1184,481,1277,1138
419,691,207,266,97,320,1171,461,1249,1150
426,691,207,266,97,381,1258,444,1217,1135
426,691,207,272,78,322,1268,368,1217,1102
426,691,207,273,73,374,1378,368,1217,1102
426,691,201,261,73,351,1337,479,1217,1102
426,691,189,230,75,541,1339,483,1217,1102
426,691,189,268,75,512,1339,468,1217,1102
426,690,190,252,75,510,1344,464,1217,1102
426,668,212,252,75,494,1348,464,1217,1102
426,551,329,217,75,488,1349,428,1217,1102
426,450,430,158,77,640,1349,421,1187,1102
426,385,495,158,77,682,1349,411,1159,1102
331,480,495,158,77,707,1344,302,1144,1102
324,484,498,209,77,568,1320,301,1131,1245
363,464,528,209,77,568,1320,249,1101,967
364,461,531,209,132,568,1129,251,1083,912
359,466,523,209,132,608,748,372,1083,912
359,417,568,293,132,626,653,449,1083,912
359,344,641,350,132,763,653,432,1083,907
359,272,713,358,142,900,653,385,1033,832
364,273,713,358,142,900,653,385,1206,832
351,286,705,358,185,1112,653,612,1003,817
342,295,705,358,276,1139,663,612,765,804
321,316,705,358,352,1139,807,612,702,794
247,251,840,324,352,1139,779,612,702,769
232,250,749,300,352,1139,779,612,584,769
187,295,726,285,352,1139,739,612,584,596
116,366,726,285,352,1135,617,612,329,553
131,383,726,285,352,1135,523,608,314,633
129,395,721,382,406,1135,523,616,223,696
129,395,691,443,395,1135,523,728,223,670
105,419,691,443,394,1190,525,728,178,633
220,426,691,443,508,1140,464,728,173,658
258,426,691,436,569,1140,667,728,173,666
363,426,691,436,632,1086,573,728,173,676
438,426,691,436,632,1083,638,617,176,676
438,426,691,436,630,955,792,598,336,676
438,426,691,398,630,1028,792,598,336,676
438,426,690,398,630,1015,787,598,548,866
438,426,668,386,647,1015,783,598,573,868
438,426,551,386,647,1014,789,579,623,868
438,426,450,386,852,862,849,579,623,868
559,426,385,386,853,820,879,579,651,868
606,331,480,386,853,795,849,579,673,868
607,324,484,391,853,795,863,596,673,725
568,363,464,472,864,796,903,596,673,618
622,364,461,539,809,796,846,594,673,618
622,359,466,539,830,756,846,446,681,688
660,359,417,455,832,738,846,365,681,698
763,359,344,440,833,601,846,364,704,716
804,359,272,439,829,457,846,364,704,716
846,364,273,474,829,457,916,364,531,716
900,351,286,474,786,245,921,137,574,686
902,342,295,474,695,218,1049,137,1216,686
902,321,316,474,619,218,952,141,1219,649
902,247,251,475,619,218,1108,141,1219,646
902,232,250,581,619,242,1121,141,1219,646
902,187,295,581,619,242,1159,141,1224,646
902,116,366,656,630,245,1159,141,1224,646
870,131,383,656,709,245,1159,141,1229,566
860,129,395,620,689,269,1161,133,1309,503
860,129,395,740,793,376,1161,21,1329,341
860,105,419,742,825,330,1159,21,1329,341
738,220,426,780,877,418,1099,21,1339,316
700,258,426,814,816,535,887,47,1339,308
