Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,T-7,T-8,T-9,T-10,T-11,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4,Accum_y-5,Accum_y-6,Accum_y-7,Accum_y-8,Accum_y-9,Accum_y-10
658,322,443,1161,410,285,316,443,1532,872,1716,515,1123,577,963,567,1015,651,678,820,832,546
658,322,442,1120,452,282,317,445,1532,849,1739,515,1123,709,963,567,1042,679,614,863,832,787
658,322,442,1108,464,282,317,445,1532,731,1857,515,1123,711,963,492,1138,679,624,863,953,801
658,322,274,1240,500,282,317,445,1532,702,1886,515,1123,794,966,567,1149,679,624,865,964,996
658,315,281,1240,500,282,317,445,1532,515,2073,514,1123,782,1150,495,1164,679,624,953,968,1001
479,494,281,1234,506,282,317,445,1527,504,2089,319,1123,778,1162,546,1164,678,624,955,965,1001
350,623,217,1230,574,282,317,443,1528,504,2072,337,1123,745,1050,488,1164,657,624,956,1015,1001
350,623,217,983,821,282,317,443,1521,469,2111,340,1094,1020,917,489,1164,657,624,956,900,1001
350,608,232,713,1091,282,317,434,1493,479,2138,340,1086,1022,800,532,1164,657,569,956,950,1001
350,448,392,713,1091,282,317,434,1489,437,2154,370,1033,1024,800,579,1086,657,526,956,951,1040
382,448,392,683,1121,282,317,434,1489,338,2127,496,1144,1024,802,621,1056,657,525,873,951,1204
388,448,392,645,1158,283,317,434,1489,331,2080,550,1112,1024,802,647,1055,656,521,792,940,1288
