Accum_y-0,T-1,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4,Accum_y-5
251,817,317,1091,851,728,690
251,650,317,1059,717,706,690
251,549,317,859,723,684,690
251,482,317,855,794,675,690
251,440,317,1089,819,610,710
290,387,317,1246,815,539,710
362,348,317,1349,923,537,708
396,339,317,1368,1135,420,705
443,279,317,1260,1167,409,692
447,273,317,1130,1219,410,648
447,273,317,1130,1280,485,589
427,293,402,1080,1305,563,525
427,293,438,986,1272,572,539
425,273,438,960,1285,555,543
394,292,440,857,1404,527,636
393,271,440,718,1400,655,636
385,271,471,694,1400,719,636
329,314,469,693,1378,645,636
329,313,422,693,1338,598,584
415,313,409,693,1355,597,533
417,281,409,693,1322,493,473
453,230,409,693,1341,503,413
517,235,410,693,1375,525,396
526,241,282,668,1426,525,402
512,266,282,654,1424,525,462
529,266,282,654,1374,507,433
527,263,282,654,1441,506,419
523,228,285,654,1452,504,381
523,168,282,654,1384,565,395
436,255,282,653,1331,595,511
435,251,282,653,1309,651,555
435,251,282,585,1336,673,774
435,251,282,646,1330,710,787
435,251,282,706,1334,780,787
443,251,282,708,1263,781,787
472,251,282,530,1263,778,767
515,290,282,433,1267,781,762
446,362,282,330,1161,781,784
412,396,283,271,952,782,789
514,443,284,267,920,782,773
510,447,284,267,868,860,773
510,447,284,267,1064,785,773
510,427,202,267,1087,707,757
510,427,287,295,1117,698,731
542,425,299,328,1123,675,712
563,394,326,393,1057,675,619
569,393,370,405,1209,561,619
569,385,518,430,1209,497,619
571,329,525,465,1209,472,685
571,329,432,466,1288,468,685
523,415,403,498,1271,518,678
538,417,402,750,1253,482,661
503,453,402,809,1157,506,663
502,517,401,818,1123,542,668
694,526,401,818,1058,546,693
892,512,405,818,1021,551,626
877,529,413,818,1013,551,626
877,527,413,818,929,551,675
984,523,410,820,871,554,681
984,523,452,820,870,579,673
992,436,464,833,870,550,595
992,435,500,869,881,494,551
992,435,500,841,787,450,332
992,435,506,780,779,438,319
992,435,574,720,769,389,327
984,443,821,827,785,409,368
955,472,1091,771,760,473,369
873,515,1091,711,750,470,367
870,446,1121,711,748,591,343
870,412,1158,727,745,594,311
