Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,T-7,T-8,T-9,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4
436,508,689,1253,639,854,906,354,724,1299,657,832,595,428
383,561,637,1302,627,869,906,341,730,1306,610,757,502,433
290,654,611,1264,685,704,1077,318,747,1233,580,714,386,433
169,778,609,1190,687,690,1153,330,747,1068,667,707,336,485
99,848,542,1257,473,904,1138,345,747,1040,588,777,314,485
98,842,505,1091,683,904,1138,345,747,989,546,709,314,486
98,841,506,1033,741,904,916,567,747,945,497,704,278,517
85,854,457,1065,758,864,870,653,715,977,389,706,278,517
84,743,569,1065,713,879,895,658,598,1094,367,735,278,532
84,694,618,1065,713,879,895,658,579,1112,411,731,319,538
84,644,668,1065,713,874,900,658,579,1112,430,698,319,578
84,636,674,1052,707,828,967,658,532,1158,430,704,319,578
88,641,674,649,1057,877,971,658,532,1108,434,712,319,578
88,641,674,420,1283,880,883,746,521,917,448,712,307,578
88,637,670,428,1283,880,883,746,515,852,534,668,247,522
81,637,634,491,1275,888,805,824,453,888,654,746,374,515
263,643,634,491,1274,869,808,841,360,930,683,904,374,513
365,642,640,491,1268,865,765,836,392,927,690,959,354,506
356,661,642,491,1268,864,766,810,418,811,694,1014,380,650
354,657,648,491,1227,839,832,805,423,801,748,1015,387,650
381,630,657,510,1209,812,820,846,437,803,803,1015,387,635
750,567,720,510,1209,809,821,848,379,857,803,1015,387,608
750,557,729,511,1096,922,821,848,378,825,815,1015,387,562
750,541,737,515,1100,922,793,876,331,696,815,1015,391,545
750,541,737,515,1081,941,793,876,331,673,793,1015,384,545
750,541,737,515,1079,943,793,869,326,685,792,1036,357,545
750,541,573,679,1079,871,622,1109,321,674,790,1036,346,530
750,541,570,682,1079,692,801,1100,330,674,722,1039,345,528
750,541,550,702,1079,639,854,1063,367,669,746,914,311,530
736,520,527,760,1079,639,854,1044,386,598,780,836,247,525
736,444,553,734,1155,639,854,977,291,716,991,738,230,500
764,436,508,689,1253,639,854,906,354,724,994,709,230,516
771,383,561,637,1302,627,869,906,341,730,978,697,230,513
778,290,654,611,1264,685,704,1077,318,747,1049,628,230,513
775,169,778,609,1190,687,690,1153,330,747,1086,622,224,461
775,99,848,542,1257,473,904,1138,345,747,1304,591,224,461
786,98,842,505,1091,683,904,1138,345,747,1243,601,225,460
786,98,841,506,1033,741,904,916,567,747,1240,707,246,429
