Accum_y-0,T-1,T-2,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4,Accum_y-5,Accum_y-6
1035,1304,1213,1021,1139,995,623,334,525
1028,1307,1267,1044,1160,927,623,363,458
963,1382,1230,1062,1093,1010,608,371,455
974,1417,1122,1132,1093,982,448,424,455
1304,1369,1173,1113,1093,982,448,427,455
1268,1313,1266,1113,1092,983,448,464,439
1267,1197,1383,1363,1044,1022,444,542,439
1267,1155,1425,1469,1087,1097,442,544,439
1267,1084,1448,1553,1087,1112,369,663,439
1267,962,1409,1539,1043,1124,347,956,439
1223,992,1376,1666,904,1221,356,967,439
1179,995,1399,1748,470,1249,506,1206,439
1179,987,1401,1748,469,1278,473,1196,454
1179,984,1398,1748,469,1278,473,1155,469
1179,936,1374,1736,469,1278,473,1138,469
1087,834,1320,1682,469,1278,473,1075,465
1196,659,1495,1670,468,1271,473,1055,527
1202,625,1529,1391,468,1252,473,1043,569
1207,565,1589,1391,409,1252,473,1043,535
912,840,1618,1391,409,1252,482,1024,647
871,881,1618,1390,354,1229,629,1024,519
847,810,1713,1390,326,1229,629,1022,545
751,899,1689,1376,327,1229,629,989,574
771,907,1656,1320,658,1233,658,1126,568
772,906,1583,1239,759,1239,658,1123,575
767,903,1591,1234,776,1167,658,1123,577
767,901,1593,1138,673,1081,658,1123,709
767,901,1588,1020,560,1053,658,1123,711
716,952,1560,1022,610,1056,658,1123,794
659,1009,1472,1020,652,875,658,1123,782
710,1035,1428,867,652,836,479,1123,778
729,1035,1304,878,652,641,350,1123,745
679,1028,1307,860,631,641,350,1094,1020
668,963,1382,842,631,539,350,1086,1022
590,974,1417,772,631,518,350,1033,1024
256,1304,1369,771,631,537,382,1144,1024
255,1268,1313,771,629,654,388,1112,1024
312,1267,1197,527,628,620,388,1029,1024
312,1267,1155,434,575,562,388,1060,1024
312,1267,1084,358,575,539,388,1025,1123
479,1267,962,358,586,549,390,742,1123
489,1223,992,184,596,453,400,731,1123
530,1179,995,118,613,427,250,492,1158
530,1179,987,174,652,456,244,492,1143
530,1179,984,193,825,456,285,492,1203
544,1179,936,381,842,456,369,492,1372
549,1087,834,630,842,456,399,493,1419
440,1196,659,609,842,456,399,474,1309
434,1202,625,613,842,509,410,502,1241
429,1207,565,677,842,512,481,515,1272
420,912,840,682,842,518,627,515,1114
420,871,881,682,842,537,517,515,1096
425,847,810,683,843,551,517,515,1069
476,751,899,683,842,551,518,514,1039
447,771,907,683,511,420,491,319,1034
446,772,906,683,398,414,491,337,1027
446,767,903,683,368,425,491,340,1025
446,767,901,683,368,456,491,340,901
446,767,901,683,367,478,491,370,904
446,716,952,680,317,552,491,496,821
456,659,1009,680,275,624,491,550,784
379,710,1035,655,280,645,491,581,819
360,729,1035,715,323,618,491,581,819
360,679,1028,747,383,757,491,596,541
374,668,963,752,424,746,491,703,553
375,590,974,784,477,743,491,950,552
375,256,1304,934,481,724,459,871,598
375,255,1268,995,481,643,453,905,616
318,312,1267,990,483,638,453,1257,616
318,312,1267,977,476,598,453,1400,616
318,312,1267,969,476,715,453,1421,529
151,479,1267,976,465,713,473,1411,530
380,489,1223,977,455,753,471,1412,530
352,530,1179,961,438,753,517,1413,495
352,530,1179,928,493,695,703,1416,519
352,530,1179,927,338,713,671,1465,444
338,544,1179,739,402,766,647,1651,275
333,549,1087,490,471,839,640,1702,228
333,440,1196,489,522,848,640,1720,227
