Accum_y-0,T-1,T-2,T-3,T-4,T-5,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4,Accum_y-5
669,1256,775,803,1106,855,102,682,568,510,287
598,1327,763,815,1088,873,102,635,545,542,299
716,1358,776,815,1088,873,83,598,551,563,326
724,1299,835,793,1090,893,136,528,500,569,370
730,1306,835,792,1047,937,107,520,475,569,518
747,1233,914,790,1040,946,66,517,475,571,525
747,1068,1079,722,1108,946,66,382,475,571,432
747,1040,1071,746,1111,716,66,327,545,523,403
747,989,1087,780,1108,707,90,302,568,538,402
747,945,920,991,989,826,92,317,559,503,402
715,977,917,994,657,1158,92,317,565,502,401
598,1094,917,978,610,1221,198,317,607,694,401
579,1112,846,1049,580,1252,279,427,590,892,405
579,1112,704,1086,667,1270,370,432,584,877,413
532,1158,463,1304,588,1373,370,432,584,877,413
532,1108,513,1243,546,1403,398,432,584,984,410
521,917,715,1240,497,1452,413,557,584,984,452
515,852,786,1200,389,1500,433,571,677,992,464
453,888,812,1199,367,1412,444,548,766,992,500
360,930,863,1145,411,1394,479,538,766,992,500
392,927,892,1126,430,1362,638,876,726,992,506
418,811,1008,1126,430,1362,724,869,685,992,574
423,801,1018,1122,434,1306,724,908,685,984,821
437,803,1018,1108,448,1296,762,959,662,955,1091
379,857,1022,1022,534,1296,902,1144,723,873,1091
378,825,1055,902,654,1296,903,1191,721,870,1121
331,696,1231,873,683,1296,903,1160,722,870,1158
331,673,1254,866,690,1296,903,1173,737,721,1157
326,685,1232,884,694,1150,903,1197,734,721,1247
321,674,1251,830,748,1144,951,1247,733,721,1247
330,674,1251,775,803,1106,1112,1385,624,721,1244
367,669,1256,775,803,1106,1159,1384,563,721,1123
386,598,1327,763,815,1088,1177,1384,563,689,1111
291,716,1358,776,815,1088,1183,1487,796,668,1179
354,724,1299,835,793,1090,1123,1512,796,675,1135
341,730,1306,835,792,1047,1195,1428,796,675,956
318,747,1233,914,790,1040,1443,1468,796,673,949
330,747,1068,1079,722,1108,1443,1468,796,707,984
345,747,1040,1071,746,1111,1443,1468,772,669,1005
345,747,989,1087,780,1108,1419,1470,749,710,1022
567,747,945,920,991,989,1417,1456,740,709,1046
653,715,977,917,994,657,1417,1456,758,640,1046
658,598,1094,917,978,610,1311,1456,660,433,1046
658,579,1112,846,1049,580,1261,1346,649,224,1131
658,579,1112,704,1086,667,1204,1341,649,222,1123
658,532,1158,463,1304,588,1278,1341,649,295,1161
658,532,1108,513,1243,546,1250,1341,649,208,1161
746,521,917,715,1240,497,1235,1213,649,299,1120
746,515,852,786,1200,389,1220,1191,556,291,1108
824,453,888,812,1199,367,1237,1288,468,291,1240
841,360,930,863,1145,411,1290,1338,468,291,1240
836,392,927,892,1126,430,1175,941,468,291,1234
810,418,811,1008,1126,430,1213,941,468,291,1230
805,423,801,1018,1122,434,1267,1017,468,305,983
846,437,803,1018,1108,448,1230,1114,468,326,713
848,379,857,1022,1022,534,1122,929,343,326,713
848,378,825,1055,902,654,1173,898,339,327,683
876,331,696,1231,873,683,1266,879,338,423,645
876,331,673,1254,866,690,1383,866,323,423,645
869,326,685,1232,884,694,1425,842,323,444,555
